cafe,street,user,time,stars,reviews
Remarkable Beans,Queen St E,Uriel Andreazza,5 years ago, 5 stars ,"The barista working said I looked like Joel McHale

10/10 would feel handsome there again"
Remarkable Beans,Queen St E,Bahram,5 years ago, 5 stars ,"Adam, great to hear!"
Remarkable Beans,Queen St E,Chris Winkelaar,5 years ago, 4 stars ,
Remarkable Beans,Queen St E,Dani,5 years ago, 4 stars ,Rocket fuel is the best coffee
Remarkable Beans,Queen St E,Prashant Goel,5 years ago, 5 stars ,"Good to hear, thanks Franz!"
Remarkable Beans,Queen St E,Jasmine L,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,Marie C. Chicoine,5 years ago, 4 stars ,
Remarkable Beans,Queen St E,Adrian Huisman,5 years ago, 3 stars ,"Good atmosphere, okay coffee."
Remarkable Beans,Queen St E,Susan Kiehl,5 years ago, 4 stars ,
Remarkable Beans,Queen St E,Erika Ehler,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,Jason Davis,5 years ago, 4 stars ,"Lovely spot and friendly staff! Great wifi to get some work done too, and brightly lit"
Remarkable Beans,Queen St E,Ben Chapman-Smith,5 years ago, 4 stars ,"Went there for the first time today. Got a medium roast coffee (No light roast). It's pretty good. But the service was cold. No wave no thank you and I wasn't done paying that the next person was being served. (1 or 2 person behind me).

Thing is, there's like 3 coffee shops within 2mn walk from this place that look all equally good. So while I gave it 4 stars, I'm not sure it really deserves it."
Remarkable Beans,Queen St E,John Broadhead,5 years ago, 4 stars ,
Remarkable Beans,Queen St E,Andrea H,5 years ago, 5 stars ,"Very nice coffee shop on Queen East in Toronto.  Good quality coffee and a nice, comfortable area to sit and enjoy, along with one of their tasty pastries, of course!"
Remarkable Beans,Queen St E,Gaby Abed,5 years ago, 4 stars ,Good
Remarkable Beans,Queen St E,Julia Kindler,5 years ago, 2 stars ,
Remarkable Beans,Queen St E,Vincent Mok,5 years ago, 4 stars ,"Pretty good coffee, chill vibe"
Remarkable Beans,Queen St E,Yechan Lee,5 years ago, 3 stars ,Original review: Would be a great coffee shop if the staff was a bit less wiseass.  Coffee is good however and there's usually free samples if you can take the wisecracks that come with. Review one year later: offending person no longer employed it seems. Attended excellent comedy event here.
Remarkable Beans,Queen St E,Niall Quinlan,5 years ago, 5 stars ,"Love this location! Cozy and neatly decorated space, warm and friendly staff, good selection of beverages, and the homemade snacks are delicious."
Remarkable Beans,Queen St E,Walid Saleh,5 years ago, 5 stars ,Super friendly staff
Remarkable Beans,Queen St E,Hayden Lives,5 years ago, 3 stars ,"There are much better coffee shops in the neighborhood.  The service is usually mediocre,  the buttercup that I've tried was really dry and untasty.  The coffee is OK and the kishes and the muffins are nice."
Remarkable Beans,Queen St E,Christophe F.,5 years ago, 4 stars ,"Good coffee, quiet space good for conversations"
Remarkable Beans,Queen St E,Carlton C,5 years ago, 4 stars ,"The place was cozy and awesome, but I felt like there is a little shortage of matcha latte. I tried matcha latte, and it was the worst latte I have had before. I don't know how taste the coffe is, but I don't wanna recommand the match latte."
Remarkable Beans,Queen St E,The Talos Team in Toronto by Andreas and Nectaria (Nectaria & Andreas),5 years ago, 5 stars ,"Love the vibe in here, a real east side great. The savory muffins are a must"
Remarkable Beans,Queen St E,Richard Jansen,5 years ago, 4 stars ,
Remarkable Beans,Queen St E,Nectaria Kladitis,5 years ago, 5 stars ,Service was friendly & competent. Wares were worth the outlay of cash. Comfortable environment.
Remarkable Beans,Queen St E,Rob Bryans,5 years ago, 5 stars ,
Remarkable Beans,Queen St E,Anca B,5 years ago, 5 stars ,Friendly staff. Great environment. Good muffins. Only knocked off a star because no latte art.
Remarkable Beans,Queen St E,Sandi Hudson,5 years ago, 5 stars ,
